episode,target_cluster,winner_cluster,match,success_probability,winner_bh_rate_mbps,other_clusters_mean_bh_rate_mbps
0,3,3,1,1.0,65.50172677799623,60.528149340661436
1,3,3,1,1.0,62.65496495376577,60.6484405154123
2,3,3,1,1.0,63.4171726964573,56.29240454294532
3,3,3,1,1.0,65.11993647908805,58.79045392177415
4,3,3,1,1.0,64.87269982597569,59.73219944013262
5,3,3,1,1.0,62.25153846472984,60.35893276386103
6,1,1,1,1.0,60.80822220884506,59.31028709294403
7,3,3,1,1.0,63.49567744258656,58.55930816144786
8,0,0,1,1.0,62.03957711381971,58.84198086082219
9,3,3,1,1.0,64.08575609984193,58.35370144807309
10,3,3,1,1.0,60.61025551475019,57.966287529816086
11,3,3,1,1.0,60.60622371121141,56.49741334274106
12,3,3,1,1.0,61.14355216082967,56.748074009220154
13,3,3,1,1.0,63.50725684893709,57.540126700624405
14,3,3,1,1.0,62.88634200043809,56.50319962005031
15,1,1,1,1.0,61.14876732094485,57.71856862695822
16,3,3,1,1.0,61.38948601389897,58.66496207138192
17,3,3,1,1.0,64.12063615026403,57.62938871156093
18,3,3,1,1.0,62.904124047469075,57.53476563982041
19,3,3,1,1.0,63.389206949626455,56.49126360622299
20,3,3,1,1.0,62.186044087236255,57.9421091962333
21,3,3,1,1.0,61.003432689332776,57.10468822383828
22,3,3,1,1.0,61.67336407874362,57.796826945069334
23,3,3,1,1.0,62.904309626479034,56.919816628796546
24,3,3,1,1.0,63.917119474371724,57.02681455852106
25,3,3,1,1.0,61.2942972481539,57.49370389904184
26,3,3,1,1.0,59.94812864155378,57.29090752572304
27,3,3,1,1.0,61.92045120734515,57.037962611177086
28,3,3,1,1.0,59.09087748655126,57.1327902362084
29,3,3,1,1.0,63.074294380336575,57.398764872419676
30,3,3,1,1.0,60.525158926706794,56.7948907469665
31,3,3,1,1.0,60.798820998078384,57.24398718859896
32,3,3,1,1.0,61.6266229078204,56.22833923526558
33,3,3,1,1.0,59.28628111032539,56.569550071413964
34,3,3,1,1.0,61.4214053909437,57.02875216152547
35,3,3,1,1.0,62.89894022776491,55.97006224063361
36,1,1,1,1.0,59.24350409485894,57.0349809482939
37,3,3,1,1.0,60.42179815931905,56.751563145853254
38,3,3,1,1.0,60.37606260114998,57.014128909303956
39,3,3,1,1.0,57.7851361465286,56.56286689506971
40,3,3,1,1.0,60.17363961510438,56.848374033319686
41,3,3,1,1.0,59.59835947387194,56.78679861201092
42,1,1,1,1.0,58.983986652416945,56.20397768059483
43,3,3,1,1.0,60.57498233239103,56.40791956777915
44,3,3,1,1.0,58.410879929224215,56.62880383717572
45,3,3,1,1.0,62.99357584738139,56.760300448185596
46,3,3,1,1.0,60.57053679202088,57.131109885195876
47,3,3,1,1.0,59.79538852568069,57.08064572146244
48,3,3,1,1.0,60.114713876266975,57.235953724531434
49,3,3,1,1.0,61.619167948986885,56.30651429301276
50,3,3,1,1.0,57.50387644812531,55.87913886003401
51,3,3,1,1.0,60.77454516005423,57.48040016625309
52,3,3,1,1.0,64.42564322297225,56.99798706097135
53,3,3,1,1.0,59.46274757540446,57.14663450194264
54,3,3,1,1.0,59.892299342930386,56.85872312219954
55,3,3,1,1.0,61.876680925408536,56.581877392482376
56,3,3,1,1.0,59.22309384027652,56.39631974456032
