episode,step,cluster_id,selected_policy,selected_max_latency_s,classical_best_max_latency_s,match,success_probability
0,0,0,DemandProportional,0.003984181477897007,0.003984181477897007,1,1.0
0,0,1,DemandProportional,0.0021041040812475736,0.0021041040812475736,1,1.0
0,0,2,DemandProportional,0.001443987204059689,0.001443987204059689,1,1.0
0,0,3,DemandProportional,0.0019142341505631179,0.0019142341505631179,1,1.0
0,1,0,DemandProportional,0.002541156592348907,0.002541156592348907,1,1.0
0,1,1,DemandProportional,0.006416285601376983,0.006416285601376983,1,1.0
0,1,2,DemandProportional,0.0031309449646559078,0.0031309449646559078,1,1.0
0,1,3,DemandProportional,0.004369622240565763,0.004369622240565763,1,1.0
0,2,0,DemandProportional,0.00646170242675577,0.00646170242675577,1,1.0
0,2,1,DemandProportional,0.0026959104703919395,0.0026959104703919395,1,1.0
0,2,2,DemandProportional,0.002184266598896561,0.002184266598896561,1,1.0
0,2,3,DemandProportional,0.004422120906329426,0.004422120906329426,1,1.0
0,3,0,DemandProportional,0.003176966167721973,0.003176966167721973,1,1.0
0,3,1,DemandProportional,0.003728227754178256,0.003728227754178256,1,1.0
0,3,2,DemandProportional,0.00445820298226607,0.00445820298226607,1,1.0
0,3,3,DemandProportional,0.0016184229486018206,0.0016184229486018206,1,1.0
0,4,0,DemandProportional,0.0021924129073124725,0.0021924129073124725,1,1.0
0,4,1,DemandProportional,0.003906595250382815,0.003906595250382815,1,1.0
0,4,2,DemandProportional,0.0038243708400972883,0.0038243708400972883,1,1.0
0,4,3,DemandProportional,0.00893786446561768,0.00893786446561768,1,1.0
0,5,0,DemandProportional,0.0006845407775625462,0.0006845407775625462,1,1.0
0,5,1,DemandProportional,0.005837904909619137,0.005837904909619137,1,1.0
0,5,2,DemandProportional,0.005061901844424679,0.005061901844424679,1,1.0
0,5,3,DemandProportional,0.003468144068838317,0.003468144068838317,1,1.0
0,6,0,DemandProportional,0.005554594296852561,0.005554594296852561,1,1.0
0,6,1,DemandProportional,0.003074016513566968,0.003074016513566968,1,1.0
0,6,2,DemandProportional,0.000377828943267855,0.000377828943267855,1,1.0
0,6,3,DemandProportional,0.0004911227423725306,0.0004911227423725306,1,1.0
0,7,0,DemandProportional,0.0034542426993489604,0.0034542426993489604,1,1.0
0,7,1,DemandProportional,0.0025379898997490357,0.0025379898997490357,1,1.0
0,7,2,DemandProportional,0.004361524190767371,0.004361524190767371,1,1.0
0,7,3,DemandProportional,0.0022565375712419533,0.0022565375712419533,1,1.0
0,8,0,DemandProportional,0.004770914522706477,0.004770914522706477,1,1.0
0,8,1,DemandProportional,0.0020016986233131508,0.0020016986233131508,1,1.0
0,8,2,DemandProportional,0.0039562738314306845,0.0039562738314306845,1,1.0
0,8,3,DemandProportional,0.0023588592301397,0.0023588592301397,1,1.0
0,9,0,DemandProportional,0.008799246461044121,0.008799246461044121,1,1.0
0,9,1,DemandProportional,0.0010125554051712978,0.0010125554051712978,1,1.0
0,9,2,DemandProportional,0.0065117870109776994,0.0065117870109776994,1,1.0
0,9,3,DemandProportional,0.004471835588117196,0.004471835588117196,1,1.0
0,10,0,DemandProportional,0.004112284333587273,0.004112284333587273,1,1.0
0,10,1,DemandProportional,0.004252926073320701,0.004252926073320701,1,1.0
0,10,2,DemandProportional,0.00463868915820322,0.00463868915820322,1,1.0
0,10,3,DemandProportional,0.0016395838113767176,0.0016395838113767176,1,1.0
0,11,0,DemandProportional,0.0047003524194488226,0.0047003524194488226,1,1.0
0,11,1,DemandProportional,0.0034275277381530904,0.0034275277381530904,1,1.0
0,11,2,DemandProportional,0.001891796089427946,0.001891796089427946,1,1.0
0,11,3,DemandProportional,0.0026699170768823776,0.0026699170768823776,1,1.0
0,12,0,DemandProportional,0.005781895752718528,0.005781895752718528,1,1.0
0,12,1,DemandProportional,0.0059048573481778055,0.0059048573481778055,1,1.0
0,12,2,DemandProportional,0.00035784792858882736,0.00035784792858882736,1,1.0
0,12,3,DemandProportional,0.011317387034266792,0.011317387034266792,1,1.0
0,13,0,DemandProportional,0.0036850447320546475,0.0036850447320546475,1,1.0
0,13,1,DemandProportional,0.003528683080051219,0.003528683080051219,1,1.0
0,13,2,DemandProportional,0.004695440585270428,0.004695440585270428,1,1.0
0,13,3,DemandProportional,0.003068323608918938,0.003068323608918938,1,1.0
0,14,0,DemandProportional,0.0024126141067305285,0.0024126141067305285,1,1.0
0,14,1,DemandProportional,0.006019190074359409,0.006019190074359409,1,1.0
0,14,2,DemandProportional,0.003132396161040553,0.003132396161040553,1,1.0
0,14,3,DemandProportional,0.0047205986185739285,0.0047205986185739285,1,1.0
0,15,0,DemandProportional,0.0038465039012683124,0.0038465039012683124,1,1.0
0,15,1,DemandProportional,0.0037464295109137856,0.0037464295109137856,1,1.0
0,15,2,DemandProportional,0.002580592398040081,0.002580592398040081,1,1.0
0,15,3,DemandProportional,0.002232544814784417,0.002232544814784417,1,1.0
0,16,0,DemandProportional,0.004531651078009787,0.004531651078009787,1,1.0
0,16,1,DemandProportional,0.003351769805993177,0.003351769805993177,1,1.0
0,16,2,DemandProportional,0.004482584542469967,0.004482584542469967,1,1.0
0,16,3,DemandProportional,0.004408795464156806,0.004408795464156806,1,1.0
0,17,0,DemandProportional,0.005516399931196705,0.005516399931196705,1,1.0
0,17,1,DemandProportional,0.0009779772762681285,0.0009779772762681285,1,1.0
0,17,2,DemandProportional,0.002975046659509211,0.002975046659509211,1,1.0
0,17,3,DemandProportional,0.0022880150140466506,0.0022880150140466506,1,1.0
0,18,0,DemandProportional,0.0032523992230467963,0.0032523992230467963,1,1.0
0,18,1,DemandProportional,0.004652836040461329,0.004652836040461329,1,1.0
0,18,2,DemandProportional,0.009002554846434842,0.009002554846434842,1,1.0
0,18,3,DemandProportional,0.004445079930533293,0.004445079930533293,1,1.0
0,19,0,DemandProportional,0.0009380936161654084,0.0009380936161654084,1,1.0
0,19,1,DemandProportional,0.0022149155032158067,0.0022149155032158067,1,1.0
0,19,2,DemandProportional,0.0002931906679754285,0.0002931906679754285,1,1.0
0,19,3,DemandProportional,0.004258634742661222,0.004258634742661222,1,1.0
0,20,0,DemandProportional,0.003568691125502331,0.003568691125502331,1,1.0
0,20,1,DemandProportional,0.005478508426276255,0.005478508426276255,1,1.0
0,20,2,DemandProportional,0.003674223597131023,0.003674223597131023,1,1.0
0,20,3,DemandProportional,0.007563954383611707,0.007563954383611707,1,1.0
0,21,0,DemandProportional,0.0053793308376693825,0.0053793308376693825,1,1.0
0,21,1,DemandProportional,0.005032169441844366,0.005032169441844366,1,1.0
0,21,2,DemandProportional,0.003237986523636659,0.003237986523636659,1,1.0
0,21,3,DemandProportional,0.007878147265090788,0.007878147265090788,1,1.0
0,22,0,DemandProportional,0.002182118095664406,0.002182118095664406,1,1.0
0,22,1,DemandProportional,0.004337498260035012,0.004337498260035012,1,1.0
0,22,2,DemandProportional,0.004852561571324226,0.004852561571324226,1,1.0
0,22,3,DemandProportional,0.0031685784841887095,0.0031685784841887095,1,1.0
0,23,0,DemandProportional,0.0034013261172085724,0.0034013261172085724,1,1.0
0,23,1,DemandProportional,0.003337692860530862,0.003337692860530862,1,1.0
0,23,2,DemandProportional,0.004841777255763545,0.004841777255763545,1,1.0
0,23,3,DemandProportional,0.002819422087427973,0.002819422087427973,1,1.0
1,0,0,DemandProportional,0.006255774089670972,0.006255774089670972,1,1.0
1,0,1,DemandProportional,0.0021187474609734333,0.0021187474609734333,1,1.0
1,0,2,DemandProportional,0.005050231431744328,0.005050231431744328,1,1.0
1,0,3,DemandProportional,0.00640629826490881,0.00640629826490881,1,1.0
1,1,0,DemandProportional,0.005366384803115491,0.005366384803115491,1,1.0
1,1,1,DemandProportional,0.0032279341268599024,0.0032279341268599024,1,1.0
1,1,2,DemandProportional,0.0028504395597580144,0.0028504395597580144,1,1.0
1,1,3,DemandProportional,0.00360380732005924,0.00360380732005924,1,1.0
1,2,0,DemandProportional,0.005689268839435226,0.005689268839435226,1,1.0
1,2,1,DemandProportional,0.0044371742889738885,0.0044371742889738885,1,1.0
1,2,2,DemandProportional,0.0038752491325077056,0.0038752491325077056,1,1.0
1,2,3,DemandProportional,0.002902611364044102,0.002902611364044102,1,1.0
1,3,0,DemandProportional,0.004269722338529921,0.004269722338529921,1,1.0
1,3,1,DemandProportional,0.0013896313165841618,0.0013896313165841618,1,1.0
1,3,2,DemandProportional,0.002884562539683326,0.002884562539683326,1,1.0
1,3,3,DemandProportional,0.005481031571394134,0.005481031571394134,1,1.0
1,4,0,DemandProportional,0.003688750898851427,0.003688750898851427,1,1.0
1,4,1,DemandProportional,0.0015999673429774053,0.0015999673429774053,1,1.0
