episode,step,cluster_id,selected_uav_id,selected_uav_rate_bps,match,success_probability
0,0,0,0,78529836.26741076,1,1.0
0,0,1,3,74168125.58513722,1,1.0
0,0,2,6,96243717.56216282,1,1.0
0,0,3,11,81923404.00773522,1,1.0
0,1,0,2,95217123.02433313,1,1.0
0,1,1,4,82758950.9792474,1,1.0
0,1,2,8,77656755.10164359,1,1.0
0,1,3,11,85110025.39482689,1,1.0
0,2,0,2,88003022.14651892,1,1.0
0,2,1,4,68653457.27033192,1,1.0
0,2,2,8,71244280.24933988,1,1.0
0,2,3,10,95640618.95515911,1,1.0
0,3,0,2,86797188.77241069,1,1.0
0,3,1,3,94708752.71884453,1,1.0
0,3,2,7,88759217.97871955,1,1.0
0,3,3,11,69311835.98240328,1,1.0
0,4,0,2,78268782.28407678,1,1.0
0,4,1,4,69530878.23581704,1,1.0
0,4,2,8,87937840.28583123,1,1.0
0,4,3,10,118907863.66536057,1,1.0
0,5,0,2,108228226.06532736,1,1.0
0,5,1,3,69243503.32802734,1,1.0
0,5,2,8,64060560.85386332,1,1.0
0,5,3,11,64970523.07873954,1,1.0
0,6,0,2,64934529.73194647,1,1.0
0,6,1,5,68424993.14217584,1,1.0
0,6,2,7,79531214.55666277,1,1.0
0,6,3,10,71634869.06091906,1,1.0
0,7,0,0,65595982.947467335,1,1.0
0,7,1,4,87705733.76854914,1,1.0
0,7,2,8,94823331.83628058,1,1.0
0,7,3,10,95558396.36365278,1,1.0
0,8,0,2,81758832.1630483,1,1.0
0,8,1,4,80202714.57076415,1,1.0
0,8,2,7,72672841.31597874,1,1.0
0,8,3,10,69140055.2828787,1,1.0
0,9,0,0,63702947.955931254,1,1.0
0,9,1,3,68286374.4150439,1,1.0
0,9,2,8,62711991.26545499,1,1.0
0,9,3,10,105166114.47456354,1,1.0
0,10,0,2,68796691.74641332,1,1.0
0,10,1,3,82943518.81254698,1,1.0
0,10,2,7,74184886.37792379,1,1.0
0,10,3,10,77689788.69985777,1,1.0
0,11,0,2,123909105.46389385,1,1.0
0,11,1,4,72925788.25001913,1,1.0
0,11,2,8,60232335.124610394,1,1.0
0,11,3,10,80141620.94277768,1,1.0
0,12,0,2,101965762.97383432,1,1.0
0,12,1,3,72285044.05310574,1,1.0
0,12,2,8,88325140.12306722,1,1.0
0,12,3,10,87169586.99829376,1,1.0
0,13,0,2,84281739.32440755,1,1.0
0,13,1,3,71081937.67314817,1,1.0
0,13,2,8,83168236.75172715,1,1.0
0,13,3,10,115443911.74096866,1,1.0
0,14,0,2,77096084.25258768,1,1.0
0,14,1,3,87860948.80948581,1,1.0
0,14,2,8,107294885.81494664,1,1.0
0,14,3,10,102489161.11880115,1,1.0
0,15,0,0,63044166.366900034,1,1.0
0,15,1,4,84297957.50209486,1,1.0
0,15,2,8,87625175.68419127,1,1.0
0,15,3,10,87081007.09587355,1,1.0
