episode,baseline_loss,proposed_loss,baseline_reward,proposed_reward,baseline_latency_ms,proposed_latency_ms,baseline_throughput_mbps,proposed_throughput_mbps,v2v_warning_success_rate,v2v_warnings_attempted,v2v_warnings_delivered,edge_utilization_rate,grover_action_latency_ms,grover_action_match_rate,grover_uav_match_rate,grover_path_match_rate,grover_resource_match_rate,privacy_epsilon,privacy_epsilon_mean_over_clients,fed_rounds_so_far
0,0.1022906231713326,0.1450573668892806,-0.3714471195682747,-0.4265549247781939,92.86177989206868,106.63873119454847,13.783927052525993,12.003143563897124,0.2222222222222222,27,6,0.1217852442835768,17.349889203567677,1.0,1.0,1.0,1.0,1.2649110640673518,1.2649110640673518,12
1,0.12321805541675228,0.03764969373393493,-0.3848434793949647,-0.40347115380229054,96.21086984874118,100.86778845057262,13.304110045074575,12.689878698264783,0.08571428571428572,35,3,0.14621042367070913,17.3135794706397,1.0,1.0,1.0,1.0,1.7888543819998317,1.7888543819998317,24
2,6.788228301244089,3.952296604082221,-1.1452892602043343,-0.883208069446917,286.32231505108354,220.8020173617292,4.470486346031506,5.797048483950389,0.29411764705882354,34,10,0.1423962637782097,21.599794074899467,1.0,1.0,1.0,1.0,2.1908902300206643,2.1908902300206643,36
3,0.9212203108278724,0.5053102558692141,-0.5833684165164351,-0.5060273380602128,145.84210412910878,126.50683451505323,8.776615008700517,10.118030420306587,0.35714285714285715,42,15,0.14132724764446417,18.113878391057142,1.0,1.0,1.0,1.0,2.5298221281347035,2.5298221281347035,48
4,0.685285830947881,0.9383320161432493,-0.5840381579583689,-0.5954326935548341,146.0095394895922,148.85817338870854,8.766550490293412,8.598788839478617,0.7111111111111111,45,32,0.1440995450442036,18.5725868265099,1.0,1.0,1.0,1.0,2.82842712474619,2.82842712474619,60
5,6.184489416084641,4.430756136852627,-1.0940922133703908,-0.9610948537877663,273.5230533425977,240.2737134469415,4.679678675554828,5.32725774133697,0.2413793103448276,29,7,0.15349023323506117,22.15710403658292,1.0,1.0,1.0,1.0,3.098386676965933,3.098386676965933,72
6,4.2406776768233,2.7244690256969384,-1.01261169807234,-0.8772979376430446,253.15292451808503,219.32448441076113,5.0562323245393035,5.836101716773017,0.43243243243243246,37,16,0.149552040733397,21.605055451485896,1.0,1.0,1.0,1.0,3.346640106136302,3.346640106136302,84
7,4.29653189740687,4.60995395211891,-0.8618402224560017,-0.8935833755562924,215.46005561400042,223.39584388907315,5.94077633718399,5.729739540882336,0.4444444444444444,36,16,0.14149233823021254,20.547727990810174,1.0,1.0,1.0,1.0,3.5777087639996634,3.5777087639996634,96
8,2.9369326170611507,3.7979571504207947,-0.8006780332541638,-0.8369021574701314,200.1695083135409,209.2255393675329,6.394580327364533,6.117799977332153,0.6285714285714286,35,22,0.14295787985126177,19.94531836072387,1.0,1.0,1.0,1.0,3.794733192202055,3.794733192202055,108
9,3.9472397927893326,2.4002213194132005,-0.8280424383016878,-0.7087116061584382,207.0106095754219,177.17790153960956,6.183257962600448,7.224377243873415,0.8958333333333334,48,43,0.14981841637442508,18.991499749356564,1.0,1.0,1.0,1.0,3.9999999999999996,3.9999999999999996,120
